,Ingredient,Trade_Name,Price
876,KETOPROFEN,KETOPROFEN,16
883,POTASSIUM CHLORIDE,KLOR-CON,6
885,LEVOMILNACIPRAN HYDROCHLORIDE,LEVOMILNACIPRAN HYDROCHLORIDE,24
889,CHLORDIAZEPOXIDE,LIBRELEASE,21
890,FLUVOXAMINE MALEATE,LUVOX CR,1
892,PHENDIMETRAZINE TARTRATE,MELFIAT-105,27
893,MEMANTINE HYDROCHLORIDE,MEMANTINE HYDROCHLORIDE,30
925,DONEPEZIL HYDROCHLORIDE; MEMANTINE HYDROCHLORIDE,MEMANTINE HYDROCHLORIDE AND DONEPEZIL HYDROCHLORIDE,10
927,MEPROBAMATE,MEPROSPAN,16
930,METHYLPHENIDATE HYDROCHLORIDE,METADATE CD,3
936,METHYLPHENIDATE HYDROCHLORIDE,METHYLPHENIDATE HYDROCHLORIDE,5
975,POTASSIUM CHLORIDE,MICRO-K,28
976,POTASSIUM CHLORIDE,MICRO-K 10,18
977,MORPHINE SULFATE,MORPHINE SULFATE,14
1011,AMPHETAMINE ASPARTATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE,MYDAYIS,30
1015,MEMANTINE HYDROCHLORIDE,NAMENDA XR,30
1019,DONEPEZIL HYDROCHLORIDE; MEMANTINE HYDROCHLORIDE,NAMZARIC,13
1023,DISOPYRAMIDE PHOSPHATE,NORPACE CR,27
1025,PSEUDOEPHEDRINE HYDROCHLORIDE,NOVAFED,1
1026,BUDESONIDE,ORTIKOS,3
1028,KETOPROFEN,ORUVAIL,30
1031,HYDROMORPHONE HYDROCHLORIDE,PALLADONE,11
1035,MESALAMINE,PENTASA,26
1037,PHENDIMETRAZINE TARTRATE,PHENDIMETRAZINE TARTRATE,1
1045,PHENTERMINE RESIN COMPLEX,PHENTERMINE RESIN 30,18
1046,PHENTERMINE RESIN COMPLEX,PHENTERMINE RESIN COMPLEX,24
1048,PINACIDIL,PINDAC,3
1050,POTASSIUM CHLORIDE,POTASSIUM CHLORIDE,14
1077,PROPAFENONE HYDROCHLORIDE,PROPAFENONE HYDROCHLORIDE,12
1095,PROPRANOLOL HYDROCHLORIDE,PROPRANOLOL HYDROCHLORIDE,12
1127,CHLORPHENIRAMINE MALEATE; PSEUDOEPHEDRINE HYDROCHLORIDE,PSEUDOEPHEDRINE HYDROCHLORIDE AND CHLORPHENIRAMINE MALEATE,14
1131,PHENTERMINE HYDROCHLORIDE; TOPIRAMATE,QSYMIA,30
1135,TOPIRAMATE,QUDEXY XR,22
1140,CALCIFEDIOL,RAYALDEE,9
1141,GALANTAMINE HYDROBROMIDE,RAZADYNE ER,29
1144,METHYLPHENIDATE HYDROCHLORIDE,RITALIN LA,29
1149,CARBIDOPA; LEVODOPA,RYTARY,3
1153,PROPAFENONE HYDROCHLORIDE,RYTHMOL SR,7
1156,TROSPIUM CHLORIDE,SANCTURA XR,9
1157,THEOPHYLLINE,SLO-BID,20
1163,THEOPHYLLINE,SLO-PHYLLIN,25
1166,THEOPHYLLINE,SOMOPHYLLIN-CRT,2
1171,PHENDIMETRAZINE TARTRATE,SPRX-105,12
1172,PSEUDOEPHEDRINE HYDROCHLORIDE,SUDAFED 12 HOUR,25
1173,DILTIAZEM HYDROCHLORIDE,TAZTIA XT,7
1178,CHLORPHENIRAMINE MALEATE,TELDRIN,9
1180,TRIMEPRAZINE TARTRATE,TEMARIL,1
1181,THEOPHYLLINE,THEO-24,17
1185,THEOPHYLLINE,THEO-DUR,18
1189,THEOPHYLLINE,THEOBID,27
1190,THEOPHYLLINE,THEOBID JR.,1
1191,THEOPHYLLINE,THEOCLEAR L.A.-130,4
1192,THEOPHYLLINE,THEOCLEAR L.A.-260,24
1193,THEOPHYLLINE,THEOPHYL-SR,10
1195,THEOPHYLLINE,THEOPHYLLINE,11
1205,THEOPHYLLINE,THEOPHYLLINE-SR,20
1206,THEOPHYLLINE,THEOVENT,30
1208,CHLORPROMAZINE HYDROCHLORIDE,THORAZINE,15
1213,DILTIAZEM HYDROCHLORIDE,TIAZAC,12
1219,TOLTERODINE TARTRATE,TOLTERODINE TARTRATE,10
1229,TOPIRAMATE,TOPIRAMATE,23
1232,PSEUDOEPHEDRINE HYDROCHLORIDE; TRIPROLIDINE HYDROCHLORIDE,TRIPROLIDINE AND PSEUDOEPHEDRINE HYDROCHLORIDES,19
1233,TOPIRAMATE,TROKENDI XR,24
1237,TROSPIUM CHLORIDE,TROSPIUM CHLORIDE,30
1240,NALTREXONE HYDROCHLORIDE; OXYCODONE HYDROCHLORIDE,TROXYCA ER,29
1246,CHLORPHENIRAMINE POLISTIREX; HYDROCODONE POLISTIREX,TUSSICAPS,25
1248,DIAZEPAM,VALRELEASE,25
1249,VENLAFAXINE HYDROCHLORIDE,VENLAFAXINE HYDROCHLORIDE,29
1291,VERAPAMIL HYDROCHLORIDE,VERAPAMIL HYDROCHLORIDE,19
1297,VERAPAMIL HYDROCHLORIDE,VERELAN,30
1301,VERAPAMIL HYDROCHLORIDE,VERELAN PM,26
1304,PHENDIMETRAZINE TARTRATE,X-TROZINE L.A.,11
1305,MINOCYCLINE HYDROCHLORIDE,XIMINO,29
1310,OXYCODONE,XTAMPZA ER,1
1315,STAVUDINE,ZERIT XR,18
1319,HYDROCODONE BITARTRATE,ZOHYDRO ER,28
1325,ALISKIREN HEMIFUMARATE,TEKTURNA,5
1326,AMOXICILLIN; CLARITHROMYCIN; OMEPRAZOLE,OMEPRAZOLE AND CLARITHROMYCIN AND AMOXICILLIN,23
1328,ALBUTEROL SULFATE,VENTOLIN ROTACAPS,7
1329,METHOXSALEN,8-MOP,26
1330,CHLORDIAZEPOXIDE HYDROCHLORIDE,A-POXIDE,1
1336,ISOTRETINOIN,ABSORICA,29
1342,ISOTRETINOIN,ABSORICA LD,21
1348,FERRIC MALTOL,ACCRUFER,5
1349,ISOTRETINOIN,ACCUTANE,22
1352,ACEBUTOLOL HYDROCHLORIDE,ACEBUTOLOL HYDROCHLORIDE,10
1358,ACETAMINOPHEN; CODEINE PHOSPHATE,ACETAMINOPHEN AND CODEINE PHOSPHATE,6
1361,ACETAMINOPHEN; HYDROCODONE BITARTRATE,ACETAMINOPHEN AND HYDROCODONE BITARTRATE,13
1362,ACETAMINOPHEN; ASPIRIN; CODEINE PHOSPHATE,"ACETAMINOPHEN, ASPIRIN, AND CODEINE PHOSPHATE",5
1365,ACETAMINOPHEN; CAFFEINE; DIHYDROCODEINE BITARTRATE,"ACETAMINOPHEN, CAFFEINE, AND DIHYDROCODEINE BITARTRATE",20
1367,TETRACYCLINE HYDROCHLORIDE,ACHROMYCIN V,4
1369,ACITRETIN,ACITRETIN,1
1385,DOXYCYCLINE HYCLATE,ACTICLATE CAP,14
1386,URSODIOL,ACTIGALL,21
1388,ACYCLOVIR,ACYCLOVIR,18
1407,NIFEDIPINE,ADALAT,24
1409,PHENTERMINE HYDROCHLORIDE,ADIPEX-P,10
1410,IBUPROFEN; PSEUDOEPHEDRINE HYDROCHLORIDE,ADVIL COLD AND SINUS,10
1411,IBUPROFEN,ADVIL LIQUI-GELS,1
1412,IBUPROFEN,ADVIL MIGRAINE LIQUI-GELS,30
1413,DIPHENHYDRAMINE HYDROCHLORIDE; IBUPROFEN,ADVIL PM,6
1414,VITAMIN A PALMITATE,AFAXIN,29
1415,AMPRENAVIR,AGENERASE,14
1417,ANAGRELIDE HYDROCHLORIDE,AGRYLIN,19
1419,NETUPITANT; PALONOSETRON HYDROCHLORIDE,AKYNZEO,15
1420,ALECTINIB HYDROCHLORIDE,ALECENSA,19
1421,ACETAMINOPHEN; HYDROCODONE BITARTRATE,ALLAY,13
1422,FEXOFENADINE HYDROCHLORIDE,ALLEGRA,19
1423,ORLISTAT,ALLI,16
1424,PALONOSETRON HYDROCHLORIDE,ALOXI,5
1425,VITAMIN A PALMITATE,ALPHALIN,26
1426,RAMIPRIL,ALTACE,16
1430,ALVIMOPAN,ALVIMOPAN,29
1431,AMANTADINE HYDROCHLORIDE,AMANTADINE HYDROCHLORIDE,17
1444,BROMODIPHENHYDRAMINE HYDROCHLORIDE,AMBODRYL,16
1445,AMPICILLIN/AMPICILLIN TRIHYDRATE,AMCILL,17
1447,LUBIPROSTONE,AMITIZA,8
1449,AMLODIPINE BESYLATE; BENAZEPRIL HYDROCHLORIDE,AMLODIPINE BESYLATE AND BENAZEPRIL HYDROCHLORIDE,25
1501,ISOTRETINOIN,AMNESTEEM,1
1504,AMOXICILLIN,AMOXICILLIN,11
1526,AMOXICILLIN,AMOXIL,9
1530,AMPICILLIN/AMPICILLIN TRIHYDRATE,AMPICILLIN TRIHYDRATE,13
1548,CLOMIPRAMINE HYDROCHLORIDE,ANAFRANIL,6
1551,ANAGRELIDE HYDROCHLORIDE,ANAGRELIDE HYDROCHLORIDE,30
1569,FLUCYTOSINE,ANCOBON,27
1571,ACETAMINOPHEN; BUTALBITAL; CAFFEINE,ANOQUAN,13
1572,CEPHRADINE,ANSPOR,7
1574,FENOFIBRATE,ANTARA (MICRONIZED),9
1579,SULFINPYRAZONE,ANTURANE,30
1580,APREPITANT,APREPITANT,21
1586,HYDRALAZINE HYDROCHLORIDE; HYDROCHLOROTHIAZIDE,APRESAZIDE,23
1589,TIPRANAVIR,APTIVUS,26
1590,VITAMIN A,AQUASOL A,15
1592,ATAZANAVIR SULFATE,ATAZANAVIR SULFATE,26
1607,ATOMOXETINE HYDROCHLORIDE,ATOMOXETINE HYDROCHLORIDE,4
1648,CLOFIBRATE,ATROMID-S,19
1649,NORTRIPTYLINE HYDROCHLORIDE,AVENTYL HYDROCHLORIDE,4
1651,DUTASTERIDE,AVODART,21
1652,NIZATIDINE,AXID,9
1654,PHENYLBUTAZONE,AZOLID,15
1655,OXACILLIN SODIUM,BACTOCILL,20
1659,BALSALAZIDE DISODIUM,BALSALAZIDE DISODIUM,26
1662,ACETAMINOPHEN; BUTALBITAL,BANCAP,7
1663,ACETAMINOPHEN; HYDROCODONE BITARTRATE,BANCAP HC,23
1664,DIPHENHYDRAMINE HYDROCHLORIDE,BENADRYL,28
1666,LEVODOPA,BENDOPA,17
1669,DICYCLOMINE HYDROCHLORIDE,BENTYL,5
1670,BENZONATATE,BENZONATATE,21
1700,BETRIXABAN,BEVYXXA,25
1702,BEXAROTENE,BEXAROTENE,1
1706,ESTRADIOL; PROGESTERONE,BIJUVA,29
1707,IPODATE SODIUM,BILIVIST,16
1708,TYROPANOATE SODIUM,BILOPAQUE,7
1709,ENCORAFENIB,BRAFTOVI,7
1711,PAROXETINE MESYLATE,BRISDELLE,17
1712,TETRACYCLINE HYDROCHLORIDE,BRISTACYCLINE,11
1716,BROMOCRIPTINE MESYLATE,BROMOCRIPTINE MESYLATE,3
1719,THEOPHYLLINE,BRONKODYL,20
1721,ZANUBRUTINIB,BRUKINSA,27
1722,ACETAMINOPHEN; BUTALBITAL,BUCET,5
1723,BUDESONIDE,BUDESONIDE,29
1731,BUSPIRONE HYDROCHLORIDE,BUSPAR,17
1735,ACETAMINOPHEN; BUTALBITAL,BUTALBITAL AND ACETAMINOPHEN,11
1737,ACETAMINOPHEN; BUTALBITAL; CAFFEINE,"BUTALBITAL, ACETAMINOPHEN AND CAFFEINE",5
1752,ACETAMINOPHEN; BUTALBITAL; CAFFEINE; CODEINE PHOSPHATE,"BUTALBITAL, ACETAMINOPHEN, CAFFEINE AND CODEINE PHOSPHATE",25
1757,ASPIRIN; BUTALBITAL; CAFFEINE,"BUTALBITAL, ASPIRIN AND CAFFEINE",2
1759,ASPIRIN; BUTALBITAL; CAFFEINE; CODEINE PHOSPHATE,"BUTALBITAL, ASPIRIN, CAFFEINE, AND CODEINE PHOSPHATE",18
1764,PHENYLBUTAZONE,BUTAZOLIDIN,15
1765,BUTABARBITAL SODIUM,BUTICAPS,14
1769,CALCITRIOL,CALCITRIOL,23
1780,CALCIUM ACETATE,CALCIUM ACETATE,2
1789,CALCIFEDIOL,CALDEROL,3
1791,ACALABRUTINIB,CALQUENCE,4
1792,LUMATEPERONE TOSYLATE,CAPLYTA,23
1793,NICARDIPINE HYDROCHLORIDE,CARDENE,22
1795,CEFACLOR,CECLOR,27
1797,CEFTIBUTEN DIHYDRATE,CEDAX,26
1798,CEFACLOR,CEFACLOR,14
1816,CEFADROXIL/CEFADROXIL HEMIHYDRATE,CEFADROXIL,16
1827,CEFDINIR,CEFDINIR,2
